,num_vids,min_views_overall,max_views_overall,mean_views_overall,median_views_overall,min_views_last10,max_views_last10,mean_views_last10,median_views_last10,min_views_last25,max_views_last25,mean_views_last25,median_views_last25,min_views_last50,max_views_last50,mean_views_last50,median_views_last50,profile
0,56,56,1434,335.01785714285717,238.5,176,1434,560.0,433.5,109,1434,370.16,244.0,56,1434,315.02,234.0,https://www.tiktok.com/@lestat_corvinus
0,51,40.0,288600.0,19193.13725490196,299.0,879.0,288600.0,58927.6,9494.0,131.0,288600.0,39021.2,1958.0,40.0,288600.0,19575.62,303.5,https://www.tiktok.com/@madeuplanguage
0,59,1,1008,92.22033898305085,58.0,1,78,32.2,28.0,1,343,66.56,42.0,1,343,71.04,51.0,https://www.tiktok.com/@superman2.0_
0,51,66.0,159700.0,5361.764705882353,710.0,172,966,467.5,453.0,66,1365,534.12,478.0,66.0,159700.0,5173.0,695.0,https://www.tiktok.com/@nudlemommy
0,52,65.0,707100.0,19718.326923076922,589.5,255,2214,1058.0,770.5,255.0,707100.0,40518.16,1551.0,85.0,707100.0,20504.24,620.0,https://www.tiktok.com/@ssydney.roberts
0,21,60.0,1500000.0,73849.28571428571,455.0,197.0,1500000.0,153368.2,565.5,60.0,1500000.0,73849.28571428571,455.0,60.0,1500000.0,73849.28571428571,455.0,https://www.tiktok.com/@pastadorable
0,59,80.0,74100.0,2309.2203389830506,560.0,218,1209,609.0,500.0,99,1688,591.52,462.0,80.0,74100.0,2479.48,481.5,https://www.tiktok.com/@gayngel9
0,45,1595.0,82400.0,12587.08888888889,6706.0,3076.0,12800.0,6725.3,5451.0,1595.0,34000.0,8987.0,6179.0,1595.0,82400.0,12587.08888888889,6706.0,https://www.tiktok.com/@irinaclaudia.m
0,60,96.0,197500.0,5462.866666666667,467.5,96,4088,619.5,219.5,96,7934,810.84,239.0,96.0,197500.0,5320.14,415.5,https://www.tiktok.com/@mrindradika
0,60,47.0,36600.0,1134.2666666666667,267.0,71,1013,275.6,215.5,47,1352,247.16,171.0,47,1833,381.12,207.0,https://www.tiktok.com/@marvine131920
0,7,19800.0,80500.0,41000.0,36200.0,19800.0,80500.0,41000.0,36200.0,19800.0,80500.0,41000.0,36200.0,19800.0,80500.0,41000.0,36200.0,https://www.tiktok.com/@theobabac
0,51,45.0,1800000.0,39883.666666666664,176.0,45,221,127.9,111.5,45,7684,467.96,128.0,45.0,1800000.0,40674.52,168.5,https://www.tiktok.com/@evbtv
0,58,13.0,62200.0,2510.2241379310344,1102.0,13,2339,1134.7,1183.0,13.0,62200.0,3562.84,1196.0,13.0,62200.0,2385.4,1059.0,https://www.tiktok.com/@little_a_farms
0,58,33,1673,200.3793103448276,128.0,34,556,145.8,107.5,33,556,122.96,89.0,33,1230,160.14,120.5,https://www.tiktok.com/@alyhodg
0,42,1812.0,123900.0,9147.261904761905,5203.5,3471.0,17900.0,7887.0,6632.0,2154.0,22300.0,7602.64,5922.0,1812.0,123900.0,9147.261904761905,5203.5,https://www.tiktok.com/@antoniocipriano_
0,18,144.0,713400.0,41505.0,292.5,144,409,242.1,217.5,144.0,713400.0,41505.0,292.5,144.0,713400.0,41505.0,292.5,https://www.tiktok.com/@baked_beandon
0,62,86,9029,521.1612903225806,246.5,86,515,224.2,195.0,86,515,197.4,191.0,86,5358,357.88,225.0,https://www.tiktok.com/@ceauz
0,56,21,822,147.05357142857142,85.5,27,400,116.1,84.5,21,400,115.24,57.0,21,822,156.82,94.5,https://www.tiktok.com/@meganmmeador
0,60,4,5598,366.4166666666667,136.0,4,340,89.3,44.0,4,2343,197.48,67.0,4,2343,218.04,103.5,https://www.tiktok.com/@robynnroxx
0,17,45.0,577500.0,43586.35294117647,531.0,45.0,577500.0,73758.6,1007.5,45.0,577500.0,43586.35294117647,531.0,45.0,577500.0,43586.35294117647,531.0,https://www.tiktok.com/@mistyloggie01
0,27,194.0,501700.0,51719.62962962963,1187.0,194,2348,779.9,538.5,194.0,501700.0,55577.68,1187.0,194.0,501700.0,51719.62962962963,1187.0,https://www.tiktok.com/@woogie._.boogie
0,60,20,10000,546.0333333333333,171.0,20,813,188.5,126.5,20,1523,235.36,130.0,20,10000,535.74,171.0,https://www.tiktok.com/@rblx_issy_girl
0,23,2443.0,19700.0,6949.0,6368.0,2443.0,19700.0,8148.3,7055.0,2443.0,19700.0,6949.0,6368.0,2443.0,19700.0,6949.0,6368.0,https://www.tiktok.com/@officialnumidia
0,51,123.0,375400.0,9673.470588235294,549.0,123,4746,755.5,329.5,123,6620,1155.56,373.0,123.0,26600.0,2358.94,535.5,https://www.tiktok.com/@sadafdourandish
0,58,91.0,13700.0,709.2241379310345,401.5,105,1122,434.5,307.5,91,1122,465.12,380.0,91.0,13700.0,717.2,399.0,https://www.tiktok.com/@nursesarahhh
0,13,3.0,595500.0,46680.61538461538,186.0,3,2928,497.9,87.5,3.0,595500.0,46680.61538461538,186.0,3.0,595500.0,46680.61538461538,186.0,https://www.tiktok.com/@alexthegreat2018
0,59,29,1184,227.3050847457627,145.0,52,235,136.2,137.0,36,767,200.96,140.0,29,1063,197.92,139.5,https://www.tiktok.com/@bbenn916
0,57,148.0,97100.0,2852.3859649122805,387.0,148,949,499.4,431.5,148.0,97100.0,5027.96,453.0,148.0,97100.0,3211.76,398.5,https://www.tiktok.com/@cadenmgoehring
0,12,140,863,408.75,299.0,140,863,394.4,299.0,140,863,408.75,299.0,140,863,408.75,299.0,https://www.tiktok.com/@carrie.xoxo16
0,60,16,1085,168.81666666666666,71.0,20,753,204.3,74.0,20,874,216.4,105.0,20,874,158.8,67.0,https://www.tiktok.com/@cherishhope_
0,57,137.0,60600.0,3420.1052631578946,495.0,137,1328,503.8,368.5,137.0,60600.0,3605.2,650.0,137.0,60600.0,3522.08,504.5,https://www.tiktok.com/@dubbadmusic
0,63,8.0,848300.0,13563.761904761905,48.0,56,745,153.6,74.5,56.0,848300.0,34085.68,94.0,11.0,848300.0,17087.2,64.5,https://www.tiktok.com/@elybelly03
0,19,2884.0,69800.0,14728.526315789473,6788.0,2884.0,32200.000000000004,11448.3,6757.5,2884.0,69800.0,14728.526315789473,6788.0,2884.0,69800.0,14728.526315789473,6788.0,https://www.tiktok.com/@julzdunne17
0,56,101,6824,702.6428571428571,401.5,179,1824,617.2,485.0,117,6824,740.32,407.0,117,6824,730.92,401.5,https://www.tiktok.com/@kayleebee93
0,31,54.0,782600.0,72405.54838709677,482.0,338.0,755700.0,129299.2,5536.0,73.0,782600.0,89764.0,651.0,54.0,782600.0,72405.54838709677,482.0,https://www.tiktok.com/@jeffyboi1234567
0,60,7,2434,328.8666666666667,157.0,31,313,127.7,111.0,17,1447,219.24,142.0,7,2434,315.96,150.5,https://www.tiktok.com/@waywardscientist
0,60,80.0,685500.0,18431.416666666668,982.5,80,776,264.3,205.0,80,1532,413.28,311.0,80.0,685500.0,19947.78,826.0,https://www.tiktok.com/@luciartboutique
0,51,3.0,467500.0,9320.039215686274,56.0,3,185,61.4,26.0,3,1687,161.16,64.0,3.0,467500.0,9505.16,56.0,https://www.tiktok.com/@tony12900
0,59,47,6164,883.6610169491526,463.0,47,4428,1059.7,236.0,47,6164,1015.44,456.0,47,6164,870.66,405.5,https://www.tiktok.com/@dajnaedoss
0,71,115.0,32200.000000000004,2672.943661971831,849.0,317,1378,754.2,752.5,131.0,17500.0,1634.0,591.0,131.0,32200.000000000004,2979.42,845.5,https://www.tiktok.com/@indigodetry
0,58,13,731,56.12068965517241,38.0,13,109,39.3,32.5,13,109,42.24,37.0,13,731,59.22,39.0,https://www.tiktok.com/@xspacerose
0,65,72.0,334800.0,8509.523076923077,860.0,72,926,290.9,218.0,72,5264,853.68,546.0,72.0,130800.00000000001,3733.44,720.0,https://www.tiktok.com/@jillianleezagorski
0,35,6,3000000,86082.77142857143,267.0,6,733,236.9,225.0,6,3000000,120368.72,266.0,6,3000000,86082.77142857143,267.0,https://www.tiktok.com/@mckenziejefferies
0,60,22.0,12500.0,441.6,137.5,22,366,102.4,59.5,22,478,135.88,113.0,22.0,12500.0,407.3,120.0,https://www.tiktok.com/@milliondollarslistings
0,55,4,700,187.25454545454545,119.0,4,93,54.9,60.5,4,657,140.52,90.0,4,700,176.68,100.0,https://www.tiktok.com/@k1ng_farsl1der
0,58,132,3239,778.051724137931,609.5,171,1314,455.4,463.5,132,1808,551.64,494.0,132,3239,784.24,555.5,https://www.tiktok.com/@rudydagoat_1
0,75,52.0,59300.0,1758.7066666666667,383.0,52,604,231.7,173.0,52,1654,390.4,344.0,52,1776,408.44,361.5,https://www.tiktok.com/@that1haleygirl
0,60,437.0,75300.0,4100.933333333333,1564.5,437,2435,1242.2,1085.5,437.0,12300.0,2191.6,1281.0,437.0,12300.0,2265.76,1519.5,https://www.tiktok.com/@radio538
0,60,54.0,141800.0,7210.466666666666,316.5,67.0,61900.0,6746.1,348.0,67.0,61900.0,3148.76,340.0,67.0,141800.0,8594.08,345.5,https://www.tiktok.com/@fantasticferry
0,42,219.0,314000.0,13063.380952380952,1212.5,219,1448,617.4,329.5,219.0,41800.0,5714.2,1107.0,219.0,314000.0,13063.380952380952,1212.5,https://www.tiktok.com/@raphaelamiau
0,59,291,2881,838.8644067796611,642.0,298,2539,796.8,581.0,298,2539,850.52,642.0,291,2539,848.68,673.0,https://www.tiktok.com/@arzu_official_1996
0,58,9,2939,209.08620689655172,69.0,11,128,67.5,65.5,9,2939,302.96,68.0,9,2939,192.74,59.5,https://www.tiktok.com/@itsangiepao
0,58,44.0,152400.0,5338.689655172414,450.5,121.0,57800.0,7018.8,507.0,44.0,57800.0,4123.24,465.0,44.0,152400.0,6141.32,462.5,https://www.tiktok.com/@katesearly
0,36,49.0,725200.0,36674.22222222222,513.0,49,2781,949.6,359.5,49.0,725200.0,52711.92,1627.0,49.0,725200.0,36674.22222222222,513.0,https://www.tiktok.com/@tal.yeehaw
0,23,58.0,537300.0,24237.217391304348,169.0,58,158,101.1,92.0,58.0,537300.0,24237.217391304348,169.0,58.0,537300.0,24237.217391304348,169.0,https://www.tiktok.com/@jesstravels
0,60,55,806,218.88333333333333,184.5,73,659,244.6,191.5,55,806,252.08,192.0,55,806,218.32,179.0,https://www.tiktok.com/@koa.theminiaussie
0,53,38.0,56900.0,2232.3584905660377,577.0,38,2769,975.8,675.5,38,2769,819.12,577.0,38.0,15800.0,1220.06,577.5,https://www.tiktok.com/@audiworld
0,56,38.0,13100.0,943.4285714285714,388.0,73.0,13100.0,2073.3,428.0,73.0,13100.0,1087.2,326.0,38.0,13100.0,837.96,368.5,https://www.tiktok.com/@bentheman2362
0,52,42.0,241400.0,5047.153846153846,244.5,42,974,406.3,376.0,42.0,241400.0,10116.2,271.0,42.0,241400.0,5223.8,244.5,https://www.tiktok.com/@bertnerrne
0,60,111.0,12300.0,1182.45,795.0,111,1006,403.5,339.0,111,2589,651.12,530.0,111.0,12300.0,1135.2,784.0,https://www.tiktok.com/@deannacorbydressage
0,60,131.0,20900.0,1593.3833333333334,478.0,196,2825,1031.3,559.0,131,4232,865.84,487.0,131.0,20900.0,1761.38,423.0,https://www.tiktok.com/@celticjumper
0,60,35,6970,330.56666666666666,111.5,58,613,255.8,162.0,58,980,267.24,142.0,35,6970,334.74,111.5,https://www.tiktok.com/@sieabae17
0,58,10,4932,203.77586206896552,66.5,25,522,126.4,40.0,10,522,93.2,45.0,10,4932,223.0,67.0,https://www.tiktok.com/@victoriatschoppp
0,52,14.0,89900.0,2841.3846153846152,454.5,14,3284,797.6,633.0,14.0,89900.0,5436.56,1071.0,14.0,89900.0,2944.4,499.5,https://www.tiktok.com/@oceaneyesart
0,57,254,6889,1610.5087719298247,1072.0,254,2564,996.6,771.0,254,5149,1325.32,947.0,254,6225,1547.5,1054.5,https://www.tiktok.com/@rvshojan01
0,60,31.0,128199.99999999999,3236.55,441.0,31,1078,432.8,384.0,31.0,15100.0,1532.8,735.0,31.0,128199.99999999999,3851.76,571.5,https://www.tiktok.com/@mariannemali
0,52,236.0,11700.0,1267.1538461538462,626.5,446.0,11700.0,2313.2,755.0,236.0,11700.0,1500.56,613.0,236.0,11700.0,1292.5,626.5,https://www.tiktok.com/@mitchellicon
0,12,762.0,142600.0,17896.5,3027.0,762.0,39600.0,6867.4,2436.5,762.0,142600.0,17896.5,3027.0,762.0,142600.0,17896.5,3027.0,https://www.tiktok.com/@yunus.yousefi
0,56,27.0,83600.0,2402.339285714286,590.0,27,727,151.7,67.0,27,1843,509.28,316.0,27.0,83600.0,2608.12,620.0,https://www.tiktok.com/@h2brasil
0,58,29,967,168.82758620689654,103.5,29,496,176.4,117.5,29,967,216.32,111.0,29,967,172.86,102.5,https://www.tiktok.com/@tinkrb3lz
0,69,75.0,17200.0,1225.4782608695652,529.0,134,5812,2130.3,1439.5,134,5812,1702.48,1151.0,102.0,17200.0,1594.12,680.0,https://www.tiktok.com/@chrisbuysman
0,54,14.0,56500.0,2459.185185185185,339.5,14,6125,1100.4,209.5,14,6125,692.64,278.0,14.0,44100.0,1504.88,322.5,https://www.tiktok.com/@notthatemily
0,56,70,6115,505.23214285714283,264.0,70,1228,614.8,759.5,70,1339,456.76,290.0,70,6115,520.38,264.0,https://www.tiktok.com/@j.ayyx.x_
0,57,151.0,68600.0,2113.9298245614036,574.0,509,7356,2206.5,1791.0,309.0,68600.0,4147.32,927.0,182.0,68600.0,2368.96,703.5,https://www.tiktok.com/@jenniferstehlin
0,20,320.0,231000.0,24211.55,1662.5,320,2767,1133.8,876.0,320.0,231000.0,24211.55,1662.5,320.0,231000.0,24211.55,1662.5,https://www.tiktok.com/@jon_dah_barber
0,54,86.0,55800.0,3132.9444444444443,660.5,101,2799,809.8,642.5,86.0,25200.0,1730.76,639.0,86.0,50600.0,2228.88,660.5,https://www.tiktok.com/@kels.michelle
0,53,64.0,184500.0,8300.566037735849,377.0,64,761,397.8,428.5,64.0,59700.0,3453.04,472.0,64.0,184500.0,8789.12,384.5,https://www.tiktok.com/@khourist.surin
0,60,61,1198,272.55,207.0,82,1198,328.9,196.0,82,1198,322.72,228.0,82,1198,284.82,204.0,https://www.tiktok.com/@sarcastic_viking
0,60,62.0,63800.0,2052.8,434.5,62,2209,501.9,365.5,62,2209,451.96,387.0,62.0,63800.0,2327.68,427.5,https://www.tiktok.com/@shelbyleighpoetry
0,57,22.0,134700.0,4032.2631578947367,280.0,64,1136,414.1,240.0,48.0,54800.0,3118.6,432.0,22.0,134700.0,4580.14,353.0,https://www.tiktok.com/@tatiananickole
0,57,18,642,117.73684210526316,81.0,21,331,129.3,107.0,21,436,129.6,95.0,21,642,123.0,82.5,https://www.tiktok.com/@fabinhofonsecaoficial
0,60,5,168,34.083333333333336,20.5,7,94,31.7,21.5,6,98,34.52,22.0,5,164,34.02,20.5,https://www.tiktok.com/@marcosfrancis
0,43,45,397,107.88372093023256,73.0,45,397,138.5,82.0,45,397,110.68,81.0,45,397,107.88372093023256,73.0,https://www.tiktok.com/@dinayahvazquez
0,39,14.0,380700.0,10313.076923076924,292.0,29,387,80.1,37.0,14,2327,369.52,208.0,14.0,380700.0,10313.076923076924,292.0,https://www.tiktok.com/@afrorico
0,56,96,1698,570.3214285714286,478.5,144,974,439.0,357.0,96,1616,507.64,370.0,96,1698,542.56,431.0,https://www.tiktok.com/@an_hundred
0,60,42,1661,389.1166666666667,272.5,62,1661,465.9,192.0,42,1661,467.76,371.0,42,1661,389.02,292.0,https://www.tiktok.com/@musicbychel
0,54,1458.0,135300.0,30981.35185185185,13800.0,2420,8130,6225.4,6804.0,1458.0,119800.0,18745.04,6898.0,1458.0,135300.0,30203.86,12950.0,https://www.tiktok.com/@velvetkisque
0,60,113.0,27900.0,1735.5833333333333,592.5,113,2391,875.2,639.0,113,2391,765.04,560.0,113.0,27900.0,1883.56,592.5,https://www.tiktok.com/@muffinnugget
0,24,395.0,184800.0,26937.75,10531.0,395.0,109400.0,21672.8,4760.5,395.0,184800.0,26937.75,10531.0,395.0,184800.0,26937.75,10531.0,https://www.tiktok.com/@mimi_the_dove
0,57,35,2804,407.29824561403507,133.0,51,273,111.1,65.5,35,1361,138.08,64.0,35,2804,274.9,120.5,https://www.tiktok.com/@nicolettesidelsky
0,58,20.0,25900.0,824.3620689655172,183.5,20,270,115.2,98.0,20,1493,334.16,145.0,20,3559,407.28,191.5,https://www.tiktok.com/@sjsmith2567
0,35,79.0,94600.0,5306.8,918.0,79,6225,1285.9,524.0,79.0,10400.0,1733.12,712.0,79.0,94600.0,5306.8,918.0,https://www.tiktok.com/@dykeadelicc
0,60,29,1020,155.03333333333333,101.5,39,363,138.4,104.0,34,1020,181.64,111.0,29,1020,161.5,95.5,https://www.tiktok.com/@javiti_kino
0,60,3,361,62.15,39.5,3,361,86.9,44.5,3,361,54.64,30.0,3,361,59.08,34.5,https://www.tiktok.com/@manishu001
