,num_vids,min_views_overall,max_views_overall,mean_views_overall,median_views_overall,min_views_last10,max_views_last10,mean_views_last10,median_views_last10,min_views_last25,max_views_last25,mean_views_last25,median_views_last25,min_views_last50,max_views_last50,mean_views_last50,median_views_last50,profile
0,56,18,269,69.10714285714286,48.0,18,153,44.2,33.5,18,165,53.52,37.0,18,186,59.72,42.0,https://www.tiktok.com/@loonyblu
0,60,166.0,150000.0,4579.5,601.5,183,2013,810.9,598.5,183,4831,1365.04,808.0,166,150000,4039.62,601.5,https://www.tiktok.com/@lorenzoremohi
0,60,57,1459,268.6166666666667,182.5,57,387,158.1,115.0,57,1015,254.12,216.0,57,1459,260.9,163.5,https://www.tiktok.com/@itzannettguerrero
0,64,39,6575,489.46875,198.0,39,526,243.5,192.0,39,1215,240.4,169.0,39,6575,416.36,192.0,https://www.tiktok.com/@neliaga
0,42,75,287,128.73809523809524,110.5,81,287,161.8,158.5,79,287,141.76,123.0,75,287,128.73809523809524,110.5,https://www.tiktok.com/@sadega_9
0,57,190.0,30500.0,2835.7719298245615,1109.0,311,2863,1121.3,835.0,311.0,30500.0,3484.44,1109.0,190.0,30500.0,2965.18,1086.5,https://www.tiktok.com/@ragnar59440
0,60,5,180,29.1,19.5,7,150,44.4,28.5,7,180,37.44,20.0,5,180,31.38,19.5,https://www.tiktok.com/@stefanieleanne
0,58,21.0,241000.0,12781.01724137931,606.0,421.0,31400.0,5467.1,1500.5,421.0,241000.0,29203.08,3464.0,21.0,241000.0,14816.46,798.0,https://www.tiktok.com/@alice_speirs
0,51,390.0,21100.0,3732.176470588235,1984.0,779,3264,2056.6,2095.5,708.0,14400.0,3319.68,2017.0,390.0,21100.0,3754.62,1979.0,https://www.tiktok.com/@dorothymaepu
0,49,577.0,94300.0,5942.244897959184,2221.0,577,6512,2333.3,1655.0,577,6720,2539.16,2170.0,577.0,94300.0,5942.244897959184,2221.0,https://www.tiktok.com/@kimmygeee8
0,58,27.0,76100.0,2648.706896551724,691.5,46,352,126.4,84.0,27,692,193.52,100.0,27.0,76100.0,2668.06,523.0,https://www.tiktok.com/@adharabull
0,56,18.0,119200.0,3091.7678571428573,136.5,18,157,79.1,84.5,18.0,39300.0,1785.56,133.0,18.0,119200.0,3425.36,146.0,https://www.tiktok.com/@amberlove
0,58,8,310,45.93103448275862,37.0,8,60,25.5,18.0,8,112,35.88,31.0,8,310,43.32,36.5,https://www.tiktok.com/@blarghtastic23
0,16,268.0,1200000.0,76141.625,797.5,268,7013,1357.1,706.5,268.0,1200000.0,76141.625,797.5,268.0,1200000.0,76141.625,797.5,https://www.tiktok.com/@e_money4237
0,59,83.0,52700.0,1650.3389830508474,313.0,122,680,357.0,331.5,122.0,52700.0,3513.92,364.0,83.0,52700.0,1901.02,318.0,https://www.tiktok.com/@hollygedwards
0,77,57.0,12500.0,732.961038961039,259.0,66,1195,368.2,228.0,66,1990,374.56,213.0,66.0,12500.0,638.44,259.0,https://www.tiktok.com/@icyyyboiidripp
0,55,19.0,384600.0,11471.872727272726,215.0,19,231,138.5,155.5,19.0,171800.0,9421.16,215.0,19.0,171800.0,4828.76,214.5,https://www.tiktok.com/@itsjaycook
0,76,17.0,22300.0,864.7631578947369,171.5,20,697,223.4,192.5,20,1620,397.0,330.0,20.0,22300.0,859.62,209.5,https://www.tiktok.com/@kawaiiwarriorcosplay
0,60,7,1157,183.11666666666667,74.0,14,80,44.7,45.5,7,1157,124.08,41.0,7,1157,141.5,59.0,https://www.tiktok.com/@katykaos
0,56,258.0,79200.0,6919.25,1231.5,285.0,21200.0,2507.2,408.5,285.0,21200.0,2850.12,728.0,285.0,79200.0,6782.68,1231.5,https://www.tiktok.com/@laurenadams_
0,74,71.0,607400.0,13058.175675675675,682.5,71,607,245.9,192.5,71,4276,503.52,257.0,71.0,607400.0,13835.48,460.5,https://www.tiktok.com/@sndvl
