,num_vids,min_views_overall,max_views_overall,mean_views_overall,median_views_overall,min_views_last10,max_views_last10,mean_views_last10,median_views_last10,min_views_last25,max_views_last25,mean_views_last25,median_views_last25,min_views_last50,max_views_last50,mean_views_last50,median_views_last50,profile
0,70,39.0,503400.0,8957.985714285714,1424.5,39.0,12700.0,1716.8,534.5,39.0,12700.0,1265.6,588.0,39.0,12700.0,1437.5,987.5,https://www.tiktok.com/@crownmebunzz
0,65,16.0,44500.0,1357.876923076923,509.0,16.0,585.0,284.6,273.5,16.0,2209.0,464.24,299.0,16.0,2344.0,642.58,472.5,https://www.tiktok.com/@iamsleepyguy
0,58,22.0,2100000.0,37853.293103448275,983.5,22.0,30400.0,3404.2,411.0,22.0,30400.0,1678.6,465.0,22.0,30400.0,1565.16,739.5,https://www.tiktok.com/@valchubis
0,14,529.0,1400000.0,202834.35714285713,1274.5,628.0,1400000.0,143600.4,981.0,529.0,1400000.0,202834.35714285713,1274.5,529.0,1400000.0,202834.35714285713,1274.5,https://www.tiktok.com/@cheesebburger.net
0,31,312.0,1200000.0,40788.45161290323,1429.0,312.0,5664.0,1204.4,597.0,312.0,1200000.0,50213.76,1442.0,312.0,1200000.0,40788.45161290323,1429.0,https://www.tiktok.com/@yogijaz
0,34,2070.0,729300.0,70883.73529411765,4747.5,3164.0,251100.0,31310.1,5067.0,2295.0,729300.0,65968.8,5471.0,2070.0,729300.0,70883.73529411765,4747.5,https://www.tiktok.com/@uzooachebe
0,65,329.0,343900.0,14523.615384615385,1795.0,627.0,2375.0,1472.6,1496.5,329.0,92200.0,5518.96,1658.0,329.0,343900.0,18476.4,2185.5,https://www.tiktok.com/@kidryanmusic
0,51,565.0,117900.0,6001.176470588235,2389.0,565.0,4356.0,1978.6,1908.0,565.0,117900.0,6952.96,2384.0,565.0,117900.0,6089.02,2510.5,https://www.tiktok.com/@yummy_mummy85
0,59,118.0,943900.0,21244.389830508473,1144.0,330.0,237400.0,24969.7,1200.5,330.0,237400.0,10811.72,1099.0,118.0,943900.0,24868.6,1178.5,https://www.tiktok.com/@ciekawy_zycia
0,59,89.0,16100.000000000002,6088.389830508475,6215.0,89.0,7462.0,2373.5,2079.0,89.0,10700.0,4967.72,5409.0,89.0,16100.000000000002,5795.1,6042.0,https://www.tiktok.com/@susanprietooficial
0,59,625.0,170700.0,16927.728813559323,5745.0,1404.0,31200.0,6071.8,2563.0,1404.0,170700.0,23624.08,9513.0,1404.0,170700.0,19773.14,7084.5,https://www.tiktok.com/@leneeofficial
0,54,7386.0,384200.0,38660.81481481482,13900.0,12900.0,243000.0,76110.0,46450.0,8184.0,243000.0,42006.84,15600.0,7386.0,384200.0,40003.68,13900.0,https://www.tiktok.com/@saveljaaa
0,74,244.0,520900.0,7979.608108108108,535.0,244.0,480.0,369.0,366.5,244.0,1671.0,429.68,369.0,244.0,3448.0,699.88,462.0,https://www.tiktok.com/@lindabatesmerida
0,37,1435.0,306800.0,21145.54054054054,4719.0,1435.0,4878.0,2886.1,2717.0,1435.0,306800.0,18240.8,3049.0,1435.0,306800.0,21145.54054054054,4719.0,https://www.tiktok.com/@justintopi
0,76,538.0,121500.0,6236.6973684210525,3492.0,538.0,11300.0,3816.7,2506.0,538.0,121500.0,10130.04,5728.0,538.0,121500.0,7723.62,4922.5,https://www.tiktok.com/@iamsadbaby
0,53,156.0,132000.0,5464.584905660377,1729.0,156.0,5043.0,1493.7,678.0,156.0,14500.0,2360.64,1394.0,156.0,132000.0,5633.92,1706.0,https://www.tiktok.com/@cailinrua
0,60,260.0,7565.0,855.1833333333333,684.5,523.0,7565.0,1702.9,1094.0,477.0,7565.0,1091.2,741.0,317.0,7565.0,949.08,765.0,https://www.tiktok.com/@faked_kosta
0,56,136.0,94900.0,3177.8571428571427,887.0,136.0,17400.0,2758.5,624.0,136.0,17400.0,1670.44,734.0,136.0,94900.0,3383.4,845.5,https://www.tiktok.com/@verholer
0,57,806.0,31500.0,3667.1052631578946,1732.0,849.0,31500.0,5742.8,1949.0,849.0,31500.0,4814.2,1701.0,806.0,31500.0,3407.4,1696.5,https://www.tiktok.com/@ana.erak
0,52,1980.0,294900.0,14359.807692307691,4269.5,2134.0,294900.0,32208.2,3029.0,1980.0,294900.0,15688.68,3323.0,1980.0,294900.0,14792.16,4352.0,https://www.tiktok.com/@majaakova
0,63,190.0,226400.0,5233.492063492064,1650.0,190.0,3449.0,717.1,283.5,190.0,4632.0,906.8,340.0,190.0,226400.0,5822.7,1026.5,https://www.tiktok.com/@freakingemilia
0,60,1072.0,10100.0,3716.5833333333335,2561.5,3759.0,10100.0,7506.1,7486.5,2257.0,10100.0,5585.48,5822.0,1109.0,10100.0,4080.02,3505.0,https://www.tiktok.com/@flights_delusinal
0,23,241.0,1200000.0,54201.217391304344,1171.0,241.0,1260.0,698.1,789.5,241.0,1200000.0,54201.217391304344,1171.0,241.0,1200000.0,54201.217391304344,1171.0,https://www.tiktok.com/@toxxic.waist
0,59,1311.0,177600.0,17298.84745762712,6991.0,1311.0,10000.0,5151.1,4524.0,1311.0,101400.0,13340.08,5180.0,1311.0,177600.0,19096.66,7410.0,https://www.tiktok.com/@jayme.triumph
0,16,3643.0,3000000.0,268644.125,9260.5,3643.0,634300.0,115944.3,8512.0,3643.0,3000000.0,268644.125,9260.5,3643.0,3000000.0,268644.125,9260.5,https://www.tiktok.com/@justamaan
0,56,190.0,192800.0,6630.839285714285,1493.5,1114.0,192800.0,21872.5,3086.5,1066.0,192800.0,9978.36,2052.0,190.0,192800.0,7295.76,1799.0,https://www.tiktok.com/@lucamaro00
0,59,111.0,114900.0,10274.474576271186,2161.0,111.0,4677.0,1494.0,943.0,111.0,33400.0,2872.8,1387.0,111.0,114900.0,8557.96,2066.0,https://www.tiktok.com/@childcareforlife
0,52,1139.0,349500.0,18542.55769230769,3108.0,1139.0,18200.0,4432.2,3035.5,1139.0,349500.0,20909.12,3103.0,1139.0,349500.0,18831.2,3048.0,https://www.tiktok.com/@adamkeane
0,77,189.0,1600000.0,42012.03896103896,3124.0,189.0,38200.0,5785.4,1931.0,189.0,38200.0,4779.72,1851.0,189.0,38200.0,4452.6,2841.5,https://www.tiktok.com/@stankeyri
0,60,1171.0,329000.0,22391.75,3690.0,2169.0,201500.0,34617.0,5616.0,1645.0,201500.0,20007.72,2765.0,1645.0,329000.0,24654.14,3690.0,https://www.tiktok.com/@arthurtparra
0,57,2899.0,73000.0,8106.473684210527,5615.0,3106.0,9313.0,6047.6,5565.5,3106.0,73000.0,9193.6,6171.0,3106.0,73000.0,8411.06,5689.0,https://www.tiktok.com/@brockrodrigues1
