,num_vids,min_views_overall,max_views_overall,mean_views_overall,median_views_overall,min_views_last10,max_views_last10,mean_views_last10,median_views_last10,min_views_last25,max_views_last25,mean_views_last25,median_views_last25,min_views_last50,max_views_last50,mean_views_last50,median_views_last50,profile
0,23,7169.0,1900000.0,129005.73913043478,27600.0,7169.0,1900000.0,129005.73913043478,27600.0,7169.0,1900000.0,129005.73913043478,27600.0,7169.0,1900000.0,129005.73913043478,27600.0,https://www.tiktok.com/@oneeyedkoda
0,58,7018.0,6700000.0,408888.2413793103,188900.0,7018.0,6700000.0,408888.2413793103,188900.0,7018.0,6700000.0,408888.2413793103,188900.0,7018.0,6700000.0,408888.2413793103,188900.0,https://www.tiktok.com/@nikola.adamovic
0,54,160.0,40900.0,3758.9444444444443,2614.0,160.0,40900.0,3758.9444444444443,2614.0,160.0,40900.0,3758.9444444444443,2614.0,160.0,40900.0,3758.9444444444443,2614.0,https://www.tiktok.com/@toerrey
0,58,3012.0,101400.0,13377.206896551725,9435.5,3012.0,101400.0,13377.206896551725,9435.5,3012.0,101400.0,13377.206896551725,9435.5,3012.0,101400.0,13377.206896551725,9435.5,https://www.tiktok.com/@witchydith
0,56,6129.0,1800000.0,144796.0892857143,29250.0,6129.0,1800000.0,144796.0892857143,29250.0,6129.0,1800000.0,144796.0892857143,29250.0,6129.0,1800000.0,144796.0892857143,29250.0,https://www.tiktok.com/@jummus
0,54,182.0,354100.0,13380.648148148148,1673.5,182.0,354100.0,13380.648148148148,1673.5,182.0,354100.0,13380.648148148148,1673.5,182.0,354100.0,13380.648148148148,1673.5,https://www.tiktok.com/@sabr1e
0,60,1147.0,182800.0,42655.78333333333,35450.0,1147.0,182800.0,42655.78333333333,35450.0,1147.0,182800.0,42655.78333333333,35450.0,1147.0,182800.0,42655.78333333333,35450.0,https://www.tiktok.com/@johnnydboi
0,53,1527.0,2800000.0,147539.96226415093,36500.0,1527.0,2800000.0,147539.96226415093,36500.0,1527.0,2800000.0,147539.96226415093,36500.0,1527.0,2800000.0,147539.96226415093,36500.0,https://www.tiktok.com/@kristinadoesmuah_
0,11,8294.0,18700000.0,1744081.2727272727,48800.0,8294.0,18700000.0,1744081.2727272727,48800.0,8294.0,18700000.0,1744081.2727272727,48800.0,8294.0,18700000.0,1744081.2727272727,48800.0,https://www.tiktok.com/@iphito
0,28,5606.0,9200000.0,626666.2142857143,32900.0,5606.0,9200000.0,626666.2142857143,32900.0,5606.0,9200000.0,626666.2142857143,32900.0,5606.0,9200000.0,626666.2142857143,32900.0,https://www.tiktok.com/@shanedonohuee
0,72,261.0,79300.0,13838.458333333334,12400.0,261.0,79300.0,13838.458333333334,12400.0,261.0,79300.0,13838.458333333334,12400.0,261.0,79300.0,13838.458333333334,12400.0,https://www.tiktok.com/@itstheofficialisabelle
0,56,1670.0,905500.0,22818.321428571428,5213.5,1670.0,905500.0,22818.321428571428,5213.5,1670.0,905500.0,22818.321428571428,5213.5,1670.0,905500.0,22818.321428571428,5213.5,https://www.tiktok.com/@jesteroxide
0,51,288.0,1800000.0,75787.50980392157,12000.0,288.0,1800000.0,75787.50980392157,12000.0,288.0,1800000.0,75787.50980392157,12000.0,288.0,1800000.0,75787.50980392157,12000.0,https://www.tiktok.com/@thedopestzambian
0,54,422.0,47100.0,3431.722222222222,2018.0,422.0,47100.0,3431.722222222222,2018.0,422.0,47100.0,3431.722222222222,2018.0,422.0,47100.0,3431.722222222222,2018.0,https://www.tiktok.com/@yaboibaca
0,59,2273.0,2300000.0,146203.61016949153,10200.0,2273.0,2300000.0,146203.61016949153,10200.0,2273.0,2300000.0,146203.61016949153,10200.0,2273.0,2300000.0,146203.61016949153,10200.0,https://www.tiktok.com/@alvinomagic
0,45,2781.0,2700000.0,239534.93333333332,16500.0,2781.0,2700000.0,239534.93333333332,16500.0,2781.0,2700000.0,239534.93333333332,16500.0,2781.0,2700000.0,239534.93333333332,16500.0,https://www.tiktok.com/@brierwilliamson
0,59,9723.0,15500000.0,527642.7627118644,42000.0,9723.0,15500000.0,527642.7627118644,42000.0,9723.0,15500000.0,527642.7627118644,42000.0,9723.0,15500000.0,527642.7627118644,42000.0,https://www.tiktok.com/@luis
0,29,12600.0,1100000.0,213506.89655172414,131900.0,12600.0,1100000.0,213506.89655172414,131900.0,12600.0,1100000.0,213506.89655172414,131900.0,12600.0,1100000.0,213506.89655172414,131900.0,https://www.tiktok.com/@grandayy
0,68,3045.0,180900.0,24655.470588235294,11900.0,3045.0,180900.0,24655.470588235294,11900.0,3045.0,180900.0,24655.470588235294,11900.0,3045.0,180900.0,24655.470588235294,11900.0,https://www.tiktok.com/@cosplay_weeb_help
0,57,719.0,3600000.0,75105.17543859649,10400.0,719.0,3600000.0,75105.17543859649,10400.0,719.0,3600000.0,75105.17543859649,10400.0,719.0,3600000.0,75105.17543859649,10400.0,https://www.tiktok.com/@queentov_
0,58,2795.0,1800000.0,77189.03448275862,25400.0,2795.0,1800000.0,77189.03448275862,25400.0,2795.0,1800000.0,77189.03448275862,25400.0,2795.0,1800000.0,77189.03448275862,25400.0,https://www.tiktok.com/@jbobrienmusic
0,60,9951.0,620800.0,96090.85,57200.0,9951.0,620800.0,96090.85,57200.0,9951.0,620800.0,96090.85,57200.0,9951.0,620800.0,96090.85,57200.0,https://www.tiktok.com/@certified.sampson
0,62,5626.0,849300.0,54023.3870967742,23800.0,5626.0,849300.0,54023.3870967742,23800.0,5626.0,849300.0,54023.3870967742,23800.0,5626.0,849300.0,54023.3870967742,23800.0,https://www.tiktok.com/@deede_video
